train_id,region,season,train_type,train_age_years,average_speed_kmph,distance_travelled_km,ambient_temperature_c,humidity_percent,rainfall_mm,wheel_wear_percent,track_vibration_level,rail_wear_mm,bearing_temperature_c,axle_temperature_c,brake_pad_wear_percent,brake_pressure_psi,battery_voltage,last_maintenance_days,sensor_health_index,inspection_score,delay_minutes,failure_type,maintenance_required,failure_severity,risk_score
11,Central Railway,Monsoon,Freight,18,65.1429543090711,39006,27.9,91.5,75.9,25.8,2.51,10.84,58.7,56.4,24.4,118.9,23.11,271,56.5,57.8,34.5,None,0,None,70.0
12,Southern Railway,Summer,Express,6,104.7421707761131,58301,34.5,54.5,,29.6,1.7,5.26,82.8,62.0,21.7,103.8,23.48,184,61.1,61.1,17.8,None,0,None,67.9
13,Northern Railway,Winter,Freight,11,56.14633160823703,85641,25.0,57.8,3.9,12.8,,6.27,64.6,39.7,26.5,92.6,22.52,2,96.6,82.2,8.1,Bearing Failure,1,Low,45.3
14,Central Railway,Summer,Passenger,30,66.09295410439519,51049,33.1,54.7,8.0,60.3,,18.9,,64.0,60.4,85.1,,363,34.2,47.6,14.4,Track Defect,1,Medium,94.9
15,Southern Railway,Winter,Freight,27,56.75344371508063,25767,20.3,53.8,4.1,47.5,3.92,13.1,93.1,76.5,56.8,91.9,22.51,28,98.5,82.4,8.9,None,0,None,57.9
16,Central Railway,Monsoon,Express,24,109.11104425924893,226734,31.2,94.2,17.5,58.0,5.42,11.09,68.5,67.7,39.6,91.8,27.15,357,32.9,40.0,1.7,None,0,None,94.6
17,Eastern Railway,Winter,Passenger,17,68.92024829761608,139016,25.4,59.7,11.9,37.3,,7.53,75.0,60.2,25.5,108.1,28.31,298,37.0,40.0,7.8,None,0,None,86.1
18,Western Railway,Summer,Passenger,7,78.78344084567438,69489,37.6,56.9,17.1,21.0,2.53,4.25,63.6,54.9,23.7,111.0,24.76,133,84.2,74.9,5.8,None,0,None,53.6
19,Northern Railway,Winter,Freight,33,47.55382278731933,58678,24.3,46.1,0.8,67.6,2.91,15.6,96.5,73.4,100.0,53.3,26.48,124,77.9,71.3,20.9,Track Defect,1,Medium,80.0
20,Western Railway,Monsoon,Passenger,15,89.94033061939977,129749,28.0,70.5,66.7,35.9,3.99,7.57,78.9,58.2,31.0,103.5,25.13,231,60.5,64.6,1.6,None,0,None,69.6
21,Western Railway,Summer,Passenger,19,81.25076817117633,80196,37.1,,5.4,70.2,5.19,7.6,97.2,64.9,60.5,75.6,23.64,233,48.6,48.4,3.4,None,0,None,92.7
22,Southern Railway,Summer,Metro,12,60.4570006589736,145732,39.5,49.8,13.6,43.1,4.34,16.88,73.2,70.1,58.9,95.2,24.93,226,58.6,66.7,29.0,Track Defect,1,Low,75.3
23,Central Railway,Monsoon,Freight,34,54.363805666761735,85498,22.6,74.1,31.2,67.6,4.44,13.3,75.9,79.1,56.2,79.9,23.03,311,32.4,47.7,20.4,None,0,None,96.5
24,Southern Railway,Monsoon,Express,4,109.80661519575861,35634,27.4,,111.1,55.1,,3.36,72.8,64.9,10.2,109.3,22.88,34,90.6,87.8,28.9,None,0,None,53.0
25,Southern Railway,Summer,Express,32,89.1445673193821,371568,41.8,48.2,8.6,52.1,3.12,13.75,94.8,75.8,92.2,67.1,,215,65.2,59.7,14.7,Brake Failure,1,Low,83.4
26,Northern Railway,Summer,Passenger,32,58.37572216632418,74851,34.4,67.1,3.3,44.1,4.13,14.02,74.5,54.8,85.4,64.2,24.61,271,41.4,54.2,5.3,Track Defect,1,High,89.7
27,Northern Railway,Monsoon,Express,32,108.22276816130135,27692,35.7,94.3,52.2,47.2,2.87,12.04,76.5,115.2,62.4,75.1,24.46,290,39.8,51.3,27.6,None,0,None,88.7
28,Central Railway,Winter,Passenger,16,65.55143541782195,246606,21.5,64.7,3.2,49.4,4.91,14.46,81.6,67.0,66.0,92.7,23.07,162,62.6,64.5,0.5,Track Defect,1,Low,77.7
29,Northern Railway,Winter,Passenger,9,94.37585681774814,453324,21.7,65.2,3.8,41.3,3.76,3.22,82.3,69.0,50.1,97.3,19.87,121,77.6,78.6,7.3,None,0,None,63.1
30,Central Railway,Monsoon,Metro,29,60.17801892285389,100216,35.2,67.4,70.6,46.9,3.45,14.66,67.1,59.0,66.6,98.4,24.12,280,50.0,55.3,14.4,Track Defect,1,High,84.6
31,Southern Railway,Winter,Express,10,130.87959075897498,317848,16.3,,4.3,24.2,2.44,5.64,69.0,55.5,42.5,88.4,26.28,330,26.7,40.0,5.8,None,0,None,88.4
32,Central Railway,Winter,Passenger,30,101.52414853799841,68939,19.1,44.9,0.2,41.4,4.22,11.28,69.2,58.8,65.2,88.5,23.46,78,91.0,99.2,5.7,Signal Failure,1,Low,53.2
33,Eastern Railway,Summer,Passenger,26,67.89203641380688,56196,43.8,56.7,0.5,51.0,4.07,9.31,83.1,63.1,75.3,88.4,24.89,320,23.4,40.0,15.9,Signal Failure,1,Low,100.0
34,Central Railway,Winter,Express,22,103.21293495535448,260230,9.4,51.4,11.3,59.0,4.99,12.33,87.6,78.2,43.1,99.1,23.02,104,78.6,62.4,5.9,None,0,None,72.7
35,Western Railway,Winter,Express,1,102.65338007441206,38942,21.8,51.3,1.2,7.3,1.82,0.78,50.4,47.5,9.1,127.6,26.04,174,60.7,74.8,14.6,None,0,None,55.0
36,Western Railway,Summer,Express,30,101.73110576497027,116844,40.1,56.2,7.2,60.2,4.81,16.82,75.6,76.4,56.6,81.9,24.98,146,69.3,69.4,8.6,Track Defect,1,Critical,75.0
37,Eastern Railway,Winter,Freight,17,44.76000324730508,88069,23.6,51.8,0.7,20.4,3.18,13.08,83.4,45.1,47.9,91.6,25.64,319,48.7,55.9,1.3,None,0,None,75.3
38,Northern Railway,Winter,Passenger,25,77.3169791302842,81200,24.3,50.2,3.5,62.2,3.96,9.49,92.2,65.0,42.8,83.8,21.01,214,72.6,85.8,16.3,None,0,None,65.9
39,Western Railway,Summer,Express,30,108.46159088445863,143064,32.7,62.5,3.8,64.2,5.2,13.45,80.7,88.4,69.5,74.5,22.51,147,67.8,71.9,2.9,None,0,None,77.4
40,Northern Railway,Monsoon,Freight,28,53.439725518318866,22509,36.7,,54.5,42.3,,10.2,77.1,64.2,73.0,68.6,25.74,44,89.1,85.3,23.6,None,0,None,60.7
41,Eastern Railway,Summer,Express,34,117.52545337108671,141755,40.8,74.1,3.5,53.2,3.93,13.61,90.2,72.7,72.4,77.7,23.96,109,86.0,88.0,6.8,Bearing Failure,1,Low,63.2
42,Western Railway,Monsoon,Passenger,17,90.1447891881622,188517,25.4,90.0,112.2,39.8,4.41,6.7,77.4,62.2,47.7,83.1,23.48,88,85.3,73.4,40.1,None,0,None,62.2
43,Western Railway,Summer,Express,14,74.10035546973268,115331,43.5,73.3,4.3,30.1,2.91,6.84,72.2,70.3,36.2,97.6,25.4,45,100.0,87.5,1.9,None,0,None,47.9
44,South Central Railway,Winter,Metro,31,64.03093604400796,272300,20.0,39.2,7.8,56.0,3.46,13.35,80.1,61.0,63.2,80.6,26.19,248,36.9,48.7,13.1,None,0,None,92.9
45,South Central Railway,Summer,Passenger,28,71.74856593623944,180426,41.5,66.4,1.0,60.7,4.26,14.81,,78.5,38.9,95.9,28.62,198,71.8,69.7,11.9,Track Defect,1,Low,71.6
46,Southern Railway,Summer,Passenger,5,93.04968987503628,26126,42.9,56.7,7.3,38.2,2.48,2.65,58.7,57.3,0.0,123.3,23.22,32,99.2,94.3,5.2,None,0,None,42.1
47,Southern Railway,Summer,Passenger,7,66.2418131152547,139563,35.7,46.8,3.6,7.4,1.73,3.17,60.7,51.3,21.7,110.4,,68,87.3,85.1,2.2,None,0,None,44.9
48,Eastern Railway,Summer,Passenger,5,63.88593361657677,307907,33.0,,16.4,42.3,4.79,3.02,87.3,83.4,29.3,100.8,26.12,207,51.8,48.5,8.3,Track Defect,1,High,80.0
49,Eastern Railway,Monsoon,Passenger,5,73.8686954342006,40536,38.2,84.1,13.6,25.4,3.25,7.29,64.4,58.0,12.5,98.2,25.69,317,33.9,49.2,14.8,None,0,None,78.4
50,South Central Railway,Monsoon,Express,10,111.42230338457838,140118,30.2,76.6,75.4,18.6,1.06,6.26,73.4,61.2,38.7,84.4,25.58,69,81.1,82.2,28.7,None,0,None,53.3
51,Western Railway,Summer,Passenger,13,62.76558093627301,376242,41.8,58.6,12.7,49.4,3.01,9.1,87.5,62.5,11.0,122.0,23.23,233,49.1,58.2,3.7,None,0,None,76.0
52,Western Railway,Summer,Express,17,114.08678521689555,28168,39.3,48.7,,33.7,0.81,8.11,68.4,63.5,10.3,111.7,23.85,172,62.6,59.8,1.6,None,0,None,67.3
53,Northern Railway,Summer,Express,32,81.6474578776652,136956,31.7,48.4,7.4,52.1,5.58,13.46,72.9,61.6,67.5,71.3,26.63,88,86.6,77.7,14.8,None,0,None,66.1
54,Central Railway,Summer,Freight,12,58.51954343711798,68052,36.5,58.3,1.4,32.4,2.72,5.74,68.6,60.3,29.5,109.1,24.22,166,67.3,71.7,23.8,None,0,None,63.7
55,Central Railway,Monsoon,Passenger,27,62.068052672221086,451391,33.8,95.9,43.3,75.4,4.36,12.99,105.3,72.0,45.6,90.3,22.43,123,71.6,76.5,14.0,None,0,None,73.6
56,Western Railway,Monsoon,Freight,19,43.836034286378336,38459,20.4,84.7,29.7,44.1,0.94,9.65,77.4,59.8,53.3,107.5,26.57,110,63.1,58.0,44.2,None,0,None,76.9
57,Eastern Railway,Winter,Passenger,16,82.73286001587846,148664,19.0,53.6,6.6,32.9,2.58,6.55,79.0,61.0,36.7,115.5,25.19,184,57.5,49.9,11.0,None,0,None,76.5
58,South Central Railway,Monsoon,Express,22,116.19528717193846,107203,28.7,64.2,49.9,41.8,3.27,8.56,70.3,59.6,52.0,94.9,26.45,315,50.8,65.6,22.0,None,0,None,76.8
59,Eastern Railway,Summer,Express,3,100.68449526005958,128646,33.4,37.0,24.5,13.6,,4.65,45.3,69.1,33.2,110.0,25.12,100,64.6,63.7,9.9,Bearing Failure,1,Low,63.5
60,Northern Railway,Winter,Passenger,19,79.23699153302177,178719,13.5,55.8,0.9,42.6,3.36,11.83,72.7,57.4,52.1,87.4,25.43,131,72.1,59.6,3.7,None,0,None,73.0
61,Central Railway,Monsoon,Passenger,13,80.77026353863788,52742,24.7,99.5,47.7,59.3,4.11,6.93,89.4,77.2,45.4,86.0,24.28,43,99.6,98.8,2.7,None,0,None,52.2
62,Southern Railway,Winter,Passenger,7,80.5543440343855,228219,16.0,52.6,2.0,15.8,2.17,8.01,67.0,49.8,46.7,89.1,25.92,326,29.9,40.0,4.5,Signal Failure,1,Medium,86.0
63,Western Railway,Monsoon,Passenger,5,74.35819938274203,34352,33.8,77.6,81.9,0.0,1.56,8.17,,51.2,0.0,104.6,26.79,115,70.3,77.9,8.3,None,0,None,47.8
64,Southern Railway,Monsoon,Express,19,109.13768198581529,143559,29.0,91.9,39.9,33.6,3.76,8.42,68.7,46.6,32.4,99.8,26.89,98,82.0,79.9,37.0,Track Defect,1,Low,56.7
65,South Central Railway,Summer,Passenger,10,92.58462905058529,193756,36.1,65.0,3.1,50.9,,5.55,90.0,73.1,35.5,86.0,26.75,312,33.4,40.0,20.4,None,0,None,92.0
66,Northern Railway,Summer,Freight,33,63.1617347553616,325797,38.7,51.7,2.9,,3.98,12.47,85.8,69.5,78.3,78.2,24.94,298,42.3,63.5,3.7,Track Defect,1,Critical,86.5
67,Central Railway,Monsoon,Express,11,112.41296677147113,30916,35.0,90.1,53.5,34.9,3.31,4.91,88.8,55.6,12.8,122.0,,345,29.0,40.0,6.5,Wheel Defect,1,Low,85.9
68,Central Railway,Monsoon,Express,26,113.82262974928572,126961,25.5,80.7,23.0,36.5,3.39,13.83,75.6,55.9,69.4,75.2,20.58,48,100.0,80.7,14.1,Signal Failure,1,Medium,57.2
69,Northern Railway,Winter,Passenger,30,55.00447907379002,68013,7.9,33.2,4.3,74.1,3.67,10.96,86.5,73.6,57.6,77.6,25.86,324,38.1,48.4,20.0,None,0,None,96.4
70,South Central Railway,Monsoon,Passenger,8,67.51149465154101,152818,28.5,83.1,42.4,27.0,2.05,4.22,72.8,53.1,22.7,121.5,24.98,255,42.4,60.7,48.4,None,0,None,73.2
71,Eastern Railway,Monsoon,Metro,12,45.01973706050872,23434,31.7,89.1,,23.9,,9.16,72.5,55.3,32.6,93.6,22.48,37,100.0,93.4,16.3,None,0,None,43.5
72,Southern Railway,Monsoon,Passenger,5,86.87041299415372,187633,33.4,89.5,56.8,33.7,2.55,8.17,67.7,57.6,15.9,96.4,26.73,315,43.9,46.7,46.3,None,0,None,79.0
73,South Central Railway,Monsoon,Express,14,126.56076115370998,66094,36.3,90.9,63.6,26.0,2.62,8.16,70.8,64.0,32.7,99.2,22.15,259,49.2,62.6,45.2,None,0,None,71.6
74,South Central Railway,Monsoon,Metro,19,47.481639019257855,277296,30.5,82.7,,44.0,2.98,9.92,87.8,63.3,45.1,97.0,23.28,352,38.4,42.6,22.8,None,0,None,89.2
75,South Central Railway,Summer,Passenger,11,71.11396686527716,252848,36.1,33.3,2.9,34.7,3.4,6.44,69.6,58.9,56.8,85.1,23.21,193,69.0,85.8,5.3,Track Defect,1,Medium,62.2
76,Central Railway,Monsoon,Freight,25,81.54593620287228,144453,29.6,67.4,49.0,82.6,4.96,10.63,101.0,78.4,53.2,94.7,22.31,109,73.2,79.4,46.5,None,0,None,74.9
77,Northern Railway,Monsoon,Express,32,105.1221762118182,22620,29.7,83.6,62.6,56.3,4.31,17.29,87.0,63.0,85.1,69.8,25.64,131,68.8,51.5,34.3,Track Defect,1,Medium,85.6
78,Western Railway,Winter,Express,23,117.39095244544411,17900,16.7,41.5,15.5,54.4,4.58,13.84,97.3,72.9,32.1,101.4,25.53,189,55.9,56.7,13.7,None,0,None,79.0
79,Central Railway,Monsoon,Express,8,110.20800735783949,26188,26.5,,89.5,19.0,1.44,6.11,67.4,68.7,17.8,130.4,24.98,142,56.9,64.2,20.9,None,0,None,64.6
80,Western Railway,Summer,Passenger,5,74.01828191750252,169030,34.2,63.8,14.5,9.8,1.34,3.8,58.5,70.6,7.5,114.4,24.14,142,72.8,85.0,12.8,None,0,None,47.7
81,Southern Railway,Summer,Passenger,25,89.938562775557,38696,36.0,30.2,3.8,69.2,6.17,8.77,93.7,71.2,65.1,87.7,23.42,25,85.1,74.8,14.6,None,0,None,71.6
82,Central Railway,Winter,Passenger,14,69.76416873594007,71888,26.5,71.7,5.7,25.7,1.46,7.64,69.7,56.1,30.5,113.7,22.26,200,50.0,52.2,6.4,None,0,None,75.1
83,Central Railway,Summer,Express,23,94.03574961674555,220555,32.0,56.4,3.4,63.3,4.34,11.43,88.3,82.8,50.3,97.3,27.67,272,50.8,46.9,22.1,None,0,None,89.4
84,Western Railway,Monsoon,Passenger,17,56.45516748199357,346460,22.9,80.0,63.1,28.1,4.0,7.48,81.9,59.6,33.3,105.8,25.41,335,43.4,52.4,49.0,None,0,None,78.0
85,Eastern Railway,Summer,Freight,22,48.750676045722855,105713,47.8,77.4,4.1,58.7,4.14,10.4,73.7,68.3,22.9,100.0,23.43,72,73.7,78.6,11.6,None,0,None,64.6
86,Eastern Railway,Winter,Express,15,115.63257714959718,553995,13.1,66.6,0.2,50.5,3.26,10.74,85.5,75.6,51.9,103.0,23.09,353,20.9,40.0,1.4,None,0,None,98.1
87,Western Railway,Winter,Freight,3,50.66783792722858,79495,29.6,29.3,0.8,2.9,1.31,3.28,62.8,59.9,45.4,93.8,21.05,136,74.5,73.3,8.8,None,0,None,55.9
88,Northern Railway,Summer,Freight,15,48.1651282931092,234479,29.8,65.8,0.9,24.9,2.42,6.63,73.6,57.9,24.2,102.6,24.34,185,65.8,75.0,3.8,None,0,None,60.1
89,Eastern Railway,Winter,Express,30,99.79956721159859,84454,23.8,44.5,0.5,52.6,3.04,13.67,86.9,72.7,57.9,79.5,26.74,262,38.7,55.1,1.0,None,0,None,88.2
90,Southern Railway,Summer,Freight,29,67.49036715778907,202654,37.3,41.1,16.8,53.0,4.07,14.09,72.2,64.4,45.9,101.3,24.08,128,66.5,66.8,10.5,Track Defect,1,Low,73.5
91,South Central Railway,Winter,Passenger,32,72.84529101764248,299062,30.2,,0.6,75.2,5.18,15.77,97.5,68.2,50.7,77.9,24.64,100,76.0,89.0,0.5,Track Defect,1,High,68.0
92,Southern Railway,Winter,Metro,30,57.225630610276,156522,20.8,59.9,0.0,63.7,4.0,11.07,77.8,77.5,61.4,86.4,23.53,240,64.4,65.7,6.1,None,0,None,79.5
93,South Central Railway,Monsoon,Freight,30,49.62980016099814,99322,27.3,72.7,51.6,68.4,4.4,14.93,91.6,69.1,56.0,97.6,26.01,254,46.7,41.2,27.2,Track Defect,1,Medium,95.0
94,Central Railway,Summer,Express,28,115.6337367357538,137671,37.9,47.0,1.6,68.4,5.22,10.28,,77.0,59.1,91.3,23.03,331,31.4,50.6,4.5,None,0,None,96.3
95,Western Railway,Summer,Freight,9,57.87300185469811,130323,30.8,64.2,0.7,32.9,2.54,15.31,70.3,53.6,16.2,108.6,25.28,52,83.4,89.3,4.3,Track Defect,1,Low,49.9
96,Western Railway,Monsoon,Express,12,115.11362758231657,66927,28.9,91.0,29.0,45.3,2.02,7.64,79.2,74.4,5.8,115.0,23.07,65,91.4,75.1,42.5,None,0,None,54.7
97,Western Railway,Summer,Passenger,1,93.28247252276378,157995,43.0,64.4,17.7,3.3,1.3,2.51,54.9,60.1,21.5,104.1,26.22,267,39.8,54.5,5.8,None,0,None,70.3
98,Central Railway,Winter,Passenger,26,74.34007536569337,168556,19.5,45.6,4.5,54.8,,10.77,83.2,67.4,48.8,97.4,23.16,252,46.5,55.7,2.6,None,0,None,84.8
99,Western Railway,Summer,Freight,24,58.055722466506744,223629,37.5,36.5,,,4.44,11.52,87.8,62.8,37.8,99.4,24.63,264,37.9,40.0,20.4,None,0,None,93.1
100,Southern Railway,Summer,Passenger,32,73.9979095268607,115183,45.1,,10.8,78.4,5.2,11.44,99.9,71.2,74.6,91.1,24.48,260,45.0,56.8,3.0,None,0,None,94.5
101,Northern Railway,Monsoon,Express,33,107.23636976822273,140866,23.8,81.1,18.2,70.4,5.31,19.23,85.2,70.9,54.3,82.8,24.05,210,49.9,58.9,10.6,Track Defect,1,Critical,87.2
102,South Central Railway,Monsoon,Express,31,132.43956364586847,73701,28.0,86.9,90.5,83.2,6.17,15.26,156.06,84.9,62.3,80.7,28.73,340,24.5,40.0,8.1,Track Defect,1,Medium,100.0
103,Central Railway,Winter,Passenger,24,67.61433844981325,60819,10.4,73.2,8.3,37.4,4.72,10.2,68.7,61.2,67.3,84.7,23.84,336,36.4,53.0,22.2,None,0,None,87.3
104,Southern Railway,Summer,Passenger,16,78.39488841002239,239860,33.9,56.2,3.4,35.0,4.81,10.08,61.3,63.0,45.6,100.6,24.32,179,63.4,62.5,14.2,None,0,None,71.6
105,Central Railway,Summer,Passenger,14,94.49562205267328,171122,29.1,50.8,9.6,38.2,,11.95,76.0,66.3,39.4,92.6,24.61,145,70.5,65.0,9.5,None,0,None,68.3
106,South Central Railway,Monsoon,Passenger,6,80.62423413694621,229431,24.6,79.4,73.3,11.1,1.06,6.01,68.2,59.2,21.6,102.8,,244,57.7,70.9,9.8,None,0,None,60.3
107,Central Railway,Winter,Passenger,1,65.30001011185934,193654,20.3,47.3,0.7,7.6,2.17,2.39,104.03999999999999,47.0,9.3,105.3,24.87,88,91.0,87.7,4.3,None,0,None,41.0
108,Southern Railway,Summer,Passenger,1,87.59226994346017,86979,34.5,59.3,8.1,11.2,1.22,6.23,63.2,44.8,0.0,119.7,22.44,211,78.5,60.0,0.2,None,0,None,55.3
109,Central Railway,Monsoon,Express,31,112.87533789959491,209387,31.8,74.6,19.8,,2.88,12.86,,63.5,84.6,65.4,,77,70.6,76.7,12.2,Brake Failure,1,Low,72.5
110,Central Railway,Summer,Freight,27,48.06043593729172,91401,33.6,90.1,4.6,68.7,5.58,13.29,92.3,74.8,71.3,79.8,25.89,167,70.1,68.8,2.5,None,0,None,79.4
111,South Central Railway,Winter,Passenger,2,68.28925943933021,21605,17.6,45.7,,6.1,1.97,4.3,53.5,51.7,7.7,114.9,24.03,17,100.0,94.2,16.3,None,0,None,35.0
112,Central Railway,Summer,Passenger,2,60.592902237078725,58348,36.0,60.3,7.1,8.9,1.87,3.23,64.4,50.9,4.2,118.5,25.05,333,37.2,48.8,5.1,None,0,None,72.2
113,Southern Railway,Summer,Express,14,122.15487419176243,89281,31.7,66.8,0.8,41.6,3.69,11.17,69.2,80.8,38.4,88.3,24.42,72,78.3,65.7,24.1,None,0,None,66.4
114,Central Railway,Summer,Passenger,14,74.85266067251264,19882,35.7,57.1,3.7,17.0,1.74,9.0,62.9,62.6,33.0,111.9,22.56,319,30.3,40.0,0.7,None,0,None,84.1
115,Eastern Railway,Summer,Express,7,110.95570144087758,84149,38.0,,8.7,16.9,1.99,4.22,53.4,54.5,7.4,120.1,26.62,318,39.2,40.0,16.2,None,0,None,77.6
116,Western Railway,Summer,Express,27,83.43728027900582,78348,38.5,48.9,1.1,40.5,3.97,11.28,79.2,58.3,51.1,90.0,24.24,25,90.2,85.8,5.4,None,0,None,56.4
117,Northern Railway,Monsoon,Passenger,33,69.43036498563205,1166251,24.0,71.4,64.7,95.7,6.39,12.66,102.1,84.6,88.9,63.5,27.7,58,79.3,67.2,25.9,Wheel Defect,1,High,86.6
118,Northern Railway,Monsoon,Passenger,16,83.80250125584797,65966,25.6,81.5,53.4,42.8,2.57,7.25,66.7,64.5,30.6,98.8,,68,73.0,66.5,8.0,None,0,None,66.8
119,Central Railway,Winter,Freight,12,44.264233966924685,175101,27.4,54.5,0.8,48.8,3.29,5.2,85.9,60.3,42.2,110.1,25.54,299,35.6,51.3,12.8,None,0,None,87.3
120,Southern Railway,Summer,Passenger,16,69.04208116682486,589841,32.3,54.0,4.0,57.9,4.38,8.28,,79.5,29.3,104.7,26.41,116,76.6,71.0,4.8,None,0,None,67.5
121,South Central Railway,Winter,Express,26,90.11966416157878,49223,16.4,77.8,3.4,75.6,,13.97,92.1,82.5,66.7,81.4,24.78,252,56.8,62.8,24.9,None,0,None,86.7
122,South Central Railway,Monsoon,Passenger,18,83.05513079346925,80319,29.2,,58.0,37.2,3.26,17.36,67.1,64.8,48.4,86.2,23.2,48,86.0,65.8,10.7,Track Defect,1,Low,64.4
123,Central Railway,Monsoon,Passenger,2,81.95334876312567,102502,28.3,74.5,,32.3,3.89,3.16,70.6,68.4,7.5,120.5,25.85,94,88.5,79.1,53.1,None,0,None,51.0
124,Southern Railway,Monsoon,Metro,21,64.65022255540795,116591,29.4,96.7,102.2,51.6,3.92,12.9,91.1,68.5,33.5,108.0,24.98,57,91.2,87.5,8.3,None,0,None,55.6
125,South Central Railway,Summer,Express,32,97.2665953360594,184693,37.4,66.4,6.8,45.6,3.63,12.81,72.4,66.8,74.4,71.9,24.79,321,33.6,41.7,8.4,None,0,None,95.8
126,Eastern Railway,Summer,Passenger,25,92.193464249184,124414,39.0,66.9,1.9,44.3,3.17,14.28,76.2,62.9,61.5,97.4,25.43,124,78.0,68.0,7.3,Track Defect,1,Critical,69.7
127,Central Railway,Monsoon,Express,27,110.80976957400208,234999,28.5,93.4,52.6,,4.29,11.5,97.5,68.7,61.5,96.2,27.9,137,82.1,87.4,16.7,None,0,None,68.9
128,Eastern Railway,Monsoon,Express,25,88.20704931790601,57104,29.1,69.4,23.7,62.9,5.16,10.58,92.9,72.5,71.8,77.5,25.37,296,47.2,54.1,24.2,None,0,None,90.7
129,Central Railway,Summer,Express,28,109.82081261179634,298794,31.1,52.6,10.4,71.7,5.69,12.45,91.7,68.7,66.7,78.9,27.42,302,35.7,47.5,9.2,None,0,None,98.2
130,Eastern Railway,Summer,Passenger,34,71.79972667154404,41176,38.7,64.9,7.9,52.9,4.24,12.69,84.1,73.9,73.9,83.7,25.66,258,52.9,57.6,5.5,None,0,None,85.4
131,Central Railway,Monsoon,Freight,25,65.29421634005665,88946,31.2,81.8,52.3,70.4,4.37,11.61,92.9,65.6,39.1,106.8,20.54,20,100.0,96.5,11.8,Signal Failure,1,Low,54.9
132,Southern Railway,Monsoon,Freight,8,62.305353563689,600812,33.5,99.1,48.5,21.2,0.93,5.39,61.6,57.3,2.0,124.0,25.27,207,52.8,67.1,45.7,None,0,None,62.9
133,Eastern Railway,Summer,Passenger,12,75.31317509996686,450606,41.2,50.1,8.9,5.5,1.02,4.31,60.7,42.5,19.9,118.5,22.98,12,85.8,62.6,9.3,Wheel Defect,1,High,53.6
134,South Central Railway,Summer,Express,6,110.45186615945354,78802,34.9,52.3,1.6,9.0,,2.96,55.6,51.4,15.6,100.7,24.67,341,21.1,40.0,12.0,None,0,None,82.3
135,South Central Railway,Winter,Freight,28,57.525396688306536,375542,27.2,19.9,1.3,82.6,5.59,11.39,88.9,75.3,59.2,80.9,23.51,18,82.9,87.7,15.2,None,0,None,69.6
136,Northern Railway,Winter,Freight,26,61.43364799008866,29531,16.4,44.7,4.8,47.9,4.38,13.01,87.6,51.3,53.6,81.3,24.24,295,30.5,40.0,9.0,None,0,None,94.9
137,Western Railway,Summer,Passenger,32,78.55819635307326,42666,35.9,65.4,8.0,57.1,4.93,13.81,85.8,67.8,59.2,83.1,22.75,11,100.0,86.4,7.0,None,0,None,58.6
